17 1
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.335938 0.472656 0.511719 0.191406 0.296875 0.339844 0.289062 0.195312 0.214844 2.511719 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.167969 0.199219 0.519531 0.503906 0.273438 0.476562 0.207031 0.238281 0.250000 2.667969 
0.691406 0.582031 0.652344 0.667969 0.621094 0.234375 0.324219 0.531250 0.726562 0.742188 0.675781 0.679688 0.472656 0.660156 0.574219 0.207031 0.238281 6.375000 
0.484375 0.230469 0.437500 0.648438 0.457031 0.207031 0.277344 0.371094 0.437500 0.500000 0.769531 0.769531 0.414062 0.531250 0.605469 0.730469 0.656250 6.378906 
0.601562 0.468750 0.617188 0.671875 0.449219 0.179688 0.160156 0.285156 0.597656 0.714844 0.730469 0.640625 0.636719 0.417969 0.695312 0.707031 0.488281 7.214844 
0.394531 0.617188 0.777344 0.652344 0.601562 0.453125 0.613281 0.742188 0.777344 0.628906 0.378906 0.484375 0.343750 0.308594 0.175781 0.187500 0.289062 4.031250 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.167969 0.199219 0.519531 0.503906 0.273438 0.476562 0.207031 0.238281 0.250000 0.429688 2.730469 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.335938 0.472656 0.511719 0.191406 0.296875 0.339844 0.289062 0.195312 0.214844 0.457031 2.160156 
0.582031 0.652344 0.667969 0.621094 0.234375 0.324219 0.531250 0.726562 0.742188 0.675781 0.679688 0.472656 0.660156 0.574219 0.207031 0.238281 0.375000 5.058594 
0.230469 0.437500 0.648438 0.457031 0.207031 0.277344 0.371094 0.437500 0.500000 0.769531 0.769531 0.414062 0.531250 0.605469 0.730469 0.656250 0.628906 6.000000 
0.468750 0.617188 0.671875 0.449219 0.179688 0.160156 0.285156 0.597656 0.714844 0.730469 0.640625 0.636719 0.417969 0.695312 0.707031 0.488281 0.363281 6.023438 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.296875 0.445312 0.179688 0.179688 0.378906 0.230469 0.230469 0.183594 0.421875 2.250000 
0.617188 0.777344 0.652344 0.601562 0.453125 0.613281 0.742188 0.777344 0.628906 0.378906 0.484375 0.343750 0.308594 0.175781 0.187500 0.289062 0.238281 3.375000 
